ID	QUALITY
ERR346600.3	31.40414507772021
ERR346600.7	33.07142857142857
ERR346600.2	34.433915211970074
ERR346600.8	32.61306532663317
ERR346600.9	32.005181347150256
ERR346600.5	35.515075376884425
ERR346600.6	35.55958549222798
ERR346600.1	31.938574938574938
ERR346600.11	30.03061224489796
ERR346600.13	36.048780487804876
ERR346600.15	28.692682926829267
ERR346600.16	32.0280612244898
ERR346600.17	36.311557788944725
ERR346600.19	34.99251870324189
ERR346600.21	35.60847880299252
ERR346600.20	37.005025125628144
ERR346600.18	36.97487437185929
ERR346600.22	30.585492227979273
ERR346600.10	32.08163265306123
ERR346600.26	34.30591259640103
ERR346600.12	35.994923857868024
ERR346600.24	33.585427135678394
ERR346600.25	35.59405940594059
ERR346600.28	37.41012658227848
ERR346600.14	35.723970944309926
ERR346600.27	30.520100502512562
ERR346600.30	33.076530612244895
ERR346600.29	37.259067357512954
ERR346600.31	32.67357512953368
ERR346600.32	37.87688442211055
ERR346600.34	36.69642857142857
ERR346600.35	34.84183673469388
ERR346600.33	35.78140703517588
ERR346600.37	37.1
ERR346600.36	36.9780487804878
ERR346600.38	37.195544554455445
ERR346600.41	28.698019801980198
ERR346600.40	31.71645569620253
ERR346600.42	36.78238341968912
ERR346600.39	37.54455445544554
ERR346600.43	37.97738693467337
ERR346600.45	38.01036269430052
ERR346600.44	37.29675810473815
ERR346600.46	37.40414507772021
ERR346600.47	35.79336734693877
ERR346600.48	38.326478149100254
ERR346600.49	37.785714285714285
ERR346600.50	38.01745635910225
ERR346600.51	35.53615960099751
ERR346600.52	37.61139896373057
ERR346600.55	29.582655826558266
ERR346600.57	31.35148514851485
ERR346600.54	34.80798004987531
ERR346600.56	37.617721518987345
ERR346600.58	37.40975609756097
ERR346600.59	37.826829268292684
ERR346600.61	37.929503916449086
ERR346600.63	29.413265306122447
ERR346600.53	36.77239709443099
ERR346600.60	26.06234413965087
ERR346600.64	32.75247524752475
ERR346600.62	37.484924623115575
ERR346600.67	35.8354114713217
ERR346600.69	35.82673267326733
ERR346600.70	29.160804020100503
ERR346600.68	37.982142857142854
ERR346600.66	36.09443099273608
ERR346600.73	35.382278481012655
ERR346600.74	32.18872549019608
ERR346600.65	33.82005141388175
ERR346600.76	33.85785536159601
ERR346600.71	37.595477386934675
ERR346600.77	32.93622448979592
ERR346600.75	35.31898734177215
ERR346600.72	36.977722772277225
ERR346600.78	38.00253164556962
ERR346600.79	37.50623441396509
ERR346600.82	36.05486284289277
ERR346600.81	37.38987341772152
ERR346600.80	35.467171717171716
ERR346600.84	36.136585365853655
ERR346600.86	37.64824120603015
ERR346600.85	36.8160621761658
ERR346600.89	37.4119170984456
ERR346600.90	36.5969387755102
ERR346600.83	37.36159600997506
ERR346600.91	37.74744897959184
ERR346600.88	37.74234693877551
ERR346600.94	32.027227722772274
ERR346600.93	37.23979591836735
ERR346600.87	37.05102040816327
ERR346600.95	36.09653465346535
ERR346600.97	37.792682926829265
ERR346600.99	37.14070351758794
ERR346600.96	33.21219512195122
ERR346600.102	33.232911392405065
ERR346600.98	37.29396984924623
ERR346600.100	34.29873417721519
ERR346600.103	34.904522613065325
ERR346600.105	36.19268292682927
ERR346600.106	37.03367875647668
ERR346600.104	38.032745591939545
ERR346600.101	36.87032418952619
ERR346600.108	37.44647519582245
ERR346600.112	37.0475
ERR346600.109	37.14430379746835
ERR346600.107	35.85037406483791
ERR346600.113	34.59493670886076
ERR346600.111	37.98963730569948
ERR346600.110	37.58793969849246
ERR346600.115	35.14572864321608
ERR346600.114	37.08031088082902
ERR346600.116	36.71243523316062
ERR346600.117	36.56708860759494
ERR346600.120	37.0025706940874
ERR346600.118	38.030150753768844
ERR346600.119	37.49246231155779
ERR346600.122	37.6401028277635
ERR346600.125	36.93414634146342
ERR346600.123	28.48877805486284
ERR346600.124	35.57974683544304
ERR346600.126	36.5280612244898
ERR346600.121	36.25
ERR346600.127	37.265822784810126
ERR346600.128	37.58354755784062
ERR346600.131	35.3640897755611
ERR346600.132	37.02010050251256
ERR346600.130	37.910714285714285
ERR346600.133	38.14795918367347
ERR346600.137	37.21219512195122
ERR346600.134	36.868354430379746
ERR346600.139	37.80653266331658
ERR346600.138	37.51005025125628
